,bootstrap_num,speech_type,speech_metric,embeddings,assoc,corr
194,32,CDS,OR,Word2Vec,WEAT,"(0.13852354303349435, 4.607561621619696e-12)"
195,32,CS,OR,Word2Vec,WEAT,"(0.12430630002609128, 5.598054665889083e-10)"
196,32,CDS,LOR,Word2Vec,WEAT,"(0.16976461516981634, 1.928069121514982e-17)"
197,32,CS,LOR,Word2Vec,WEAT,"(0.190705385544358, 1.1238128122951386e-21)"
198,33,CDS,pfgw,Word2Vec,WEAT,"(0.1575194288357169, 2.5980805187359992e-15)"
199,33,CS,pfgw,Word2Vec,WEAT,"(0.20664883903813505, 1.9384767587172404e-25)"
200,33,CDS,OR,Word2Vec,WEAT,"(0.15067136179291457, 4.001916864146401e-14)"
201,33,CS,OR,Word2Vec,WEAT,"(0.1206376011494679, 1.529011794936904e-09)"
202,33,CDS,LOR,Word2Vec,WEAT,"(0.14955725260701325, 6.171789433502721e-14)"
203,33,CS,LOR,Word2Vec,WEAT,"(0.17474341761283496, 1.5430865733926734e-18)"
204,34,CDS,pfgw,Word2Vec,WEAT,"(0.1713845542697054, 6.290996097601876e-18)"
205,34,CS,pfgw,Word2Vec,WEAT,"(0.2147919138931303, 1.806081709103688e-27)"
206,34,CDS,OR,Word2Vec,WEAT,"(0.1686316434627117, 2.1291650917387645e-17)"
207,34,CS,OR,Word2Vec,WEAT,"(0.11607890676153368, 5.900163828973463e-09)"
208,34,CDS,LOR,Word2Vec,WEAT,"(0.17032173099090836, 1.0096973925001351e-17)"
209,34,CS,LOR,Word2Vec,WEAT,"(0.18037110855187724, 1.0193676244611353e-19)"
210,35,CDS,pfgw,Word2Vec,WEAT,"(0.16961112140920143, 1.4036439099680268e-17)"
211,35,CS,pfgw,Word2Vec,WEAT,"(0.22315539503812823, 1.4639137354654606e-29)"
212,35,CDS,OR,Word2Vec,WEAT,"(0.13796249970872312, 4.3581500189489274e-12)"
213,35,CS,OR,Word2Vec,WEAT,"(0.10274022337814859, 2.6608798074489374e-07)"
214,35,CDS,LOR,Word2Vec,WEAT,"(0.1576673705622054, 2.2651540732193356e-15)"
215,35,CS,LOR,Word2Vec,WEAT,"(0.1829166309121079, 3.0997805511263415e-20)"
216,36,CDS,pfgw,Word2Vec,WEAT,"(0.16499321550117174, 1.078159395132414e-16)"
217,36,CS,pfgw,Word2Vec,WEAT,"(0.21586849365915556, 1.052759091682292e-27)"
218,36,CDS,OR,Word2Vec,WEAT,"(0.1721135317045222, 4.751906654399177e-18)"
219,36,CS,OR,Word2Vec,WEAT,"(0.12467871292819, 4.098544717569351e-10)"
220,36,CDS,LOR,Word2Vec,WEAT,"(0.16773779087946175, 3.2890710658338955e-17)"
221,36,CS,LOR,Word2Vec,WEAT,"(0.19241502777165714, 3.044639223216776e-22)"
222,37,CDS,pfgw,Word2Vec,WEAT,"(0.16141970515240484, 5.041421667554472e-16)"
223,37,CS,pfgw,Word2Vec,WEAT,"(0.22578756541816902, 3.402748585743272e-30)"
224,37,CDS,OR,Word2Vec,WEAT,"(0.11535296156750376, 7.59862028249959e-09)"
225,37,CS,OR,Word2Vec,WEAT,"(0.15378353339106163, 1.1445545082503078e-14)"
226,37,CDS,LOR,Word2Vec,WEAT,"(0.1482911786944299, 9.83275340560301e-14)"
227,37,CS,LOR,Word2Vec,WEAT,"(0.20073911804884378, 4.364259666025229e-24)"
228,38,CDS,pfgw,Word2Vec,WEAT,"(0.17482545648380826, 1.7124883610648476e-18)"
229,38,CS,pfgw,Word2Vec,WEAT,"(0.21967138189157348, 1.6366006092734867e-28)"
230,38,CDS,OR,Word2Vec,WEAT,"(0.16005953214775764, 1.0278773433308468e-15)"
231,38,CS,OR,Word2Vec,WEAT,"(0.1441143669788864, 5.38329263429879e-13)"
232,38,CDS,LOR,Word2Vec,WEAT,"(0.1673953793665554, 4.604842257680626e-17)"
233,38,CS,LOR,Word2Vec,WEAT,"(0.1969851953650646, 3.842522592031853e-23)"
234,39,CDS,pfgw,Word2Vec,WEAT,"(0.1710132314055193, 7.650968812481529e-18)"
235,39,CS,pfgw,Word2Vec,WEAT,"(0.20700716419517573, 1.4289465473870721e-25)"
236,39,CDS,OR,Word2Vec,WEAT,"(0.14431258284503068, 4.3038499095731066e-13)"
237,39,CS,OR,Word2Vec,WEAT,"(0.14973195813461287, 5.4445405331550354e-14)"
238,39,CDS,LOR,Word2Vec,WEAT,"(0.16631367544362438, 6.019111894369294e-17)"
239,39,CS,LOR,Word2Vec,WEAT,"(0.18356087213332728, 2.31715151397256e-20)"
240,40,CDS,pfgw,Word2Vec,WEAT,"(0.18039731947985005, 1.294229396883965e-19)"
241,40,CS,pfgw,Word2Vec,WEAT,"(0.21561080598131474, 1.6258002045161817e-27)"
242,40,CDS,OR,Word2Vec,WEAT,"(0.17212999957796227, 5.663139377557208e-18)"
243,40,CS,OR,Word2Vec,WEAT,"(0.1593539878551621, 1.3574446396053417e-15)"
244,40,CDS,LOR,Word2Vec,WEAT,"(0.17283338548063665, 4.135680656723527e-18)"
245,40,CS,LOR,Word2Vec,WEAT,"(0.19954535581983152, 1.0020923837046968e-23)"
246,41,CDS,pfgw,Word2Vec,WEAT,"(0.1658323772155591, 8.180956786709674e-17)"
247,41,CS,pfgw,Word2Vec,WEAT,"(0.21573485384144564, 1.3120964511225046e-27)"
248,41,CDS,OR,Word2Vec,WEAT,"(0.15571140834689173, 5.549507092143196e-15)"
249,41,CS,OR,Word2Vec,WEAT,"(0.09481576319585794, 2.1413831339722063e-06)"
250,41,CDS,LOR,Word2Vec,WEAT,"(0.15540755550300578, 6.272151299930185e-15)"
251,41,CS,LOR,Word2Vec,WEAT,"(0.18153098329155642, 6.863703734991588e-20)"
252,42,CDS,pfgw,Word2Vec,WEAT,"(0.17560004646846572, 8.104641900380044e-19)"
253,42,CS,pfgw,Word2Vec,WEAT,"(0.21643498746984596, 5.702158129727921e-28)"
254,42,CDS,OR,Word2Vec,WEAT,"(0.16651749911807937, 4.7110391176855923e-17)"
255,42,CS,OR,Word2Vec,WEAT,"(0.13342694507481953, 1.963691032321459e-11)"
256,42,CDS,LOR,Word2Vec,WEAT,"(0.17164213314061455, 4.8923795213064885e-18)"
257,42,CS,LOR,Word2Vec,WEAT,"(0.187233645973856, 3.20831319978347e-21)"
258,43,CDS,pfgw,Word2Vec,WEAT,"(0.17428437059077306, 2.0871604183013526e-18)"
259,43,CS,pfgw,Word2Vec,WEAT,"(0.20423205401493372, 8.111093200862546e-25)"
260,43,CDS,OR,Word2Vec,WEAT,"(0.14472416060868865, 4.152651108688384e-13)"
261,43,CS,OR,Word2Vec,WEAT,"(0.12224883383927793, 9.644441223796832e-10)"
262,43,CDS,LOR,Word2Vec,WEAT,"(0.1600945413077148, 9.7382895591546e-16)"
263,43,CS,LOR,Word2Vec,WEAT,"(0.1736257543294727, 2.809390209860414e-18)"
264,44,CDS,pfgw,Word2Vec,WEAT,"(0.17057858418010474, 1.1970220589364685e-17)"
265,44,CS,pfgw,Word2Vec,WEAT,"(0.21471820249534188, 2.9597299116559688e-27)"
266,44,CDS,OR,Word2Vec,WEAT,"(0.15589526288257483, 5.83861566501423e-15)"
267,44,CS,OR,Word2Vec,WEAT,"(0.14412173182177646, 5.543523108870923e-13)"
268,44,CDS,LOR,Word2Vec,WEAT,"(0.16198748281772618, 4.798051449689073e-16)"
269,44,CS,LOR,Word2Vec,WEAT,"(0.18424578938080405, 2.2441591855142836e-20)"
270,45,CDS,pfgw,Word2Vec,WEAT,"(0.15284659004179374, 2.325518584637206e-14)"
271,45,CS,pfgw,Word2Vec,WEAT,"(0.20251922116444301, 3.0780687155492224e-24)"
272,45,CDS,OR,Word2Vec,WEAT,"(0.1360151742260673, 1.181368637507274e-11)"
273,45,CS,OR,Word2Vec,WEAT,"(0.09853153529866546, 9.466627153081408e-07)"
274,45,CDS,LOR,Word2Vec,WEAT,"(0.1508394264977042, 5.0805465105790327e-14)"
275,45,CS,LOR,Word2Vec,WEAT,"(0.16729097789349778, 6.152951259403217e-17)"
276,46,CDS,pfgw,Word2Vec,WEAT,"(0.1823096886473396, 3.549836386375091e-20)"
277,46,CS,pfgw,Word2Vec,WEAT,"(0.22196923873844676, 2.3407970340564362e-29)"
278,46,CDS,OR,Word2Vec,WEAT,"(0.16165190136862595, 3.8407837955426807e-16)"
279,46,CS,OR,Word2Vec,WEAT,"(0.13020701960483383, 5.986116464813692e-11)"
280,46,CDS,LOR,Word2Vec,WEAT,"(0.17761811486351892, 3.2400575480604927e-19)"
281,46,CS,LOR,Word2Vec,WEAT,"(0.19042834474681383, 6.704422913623625e-22)"
282,47,CDS,pfgw,Word2Vec,WEAT,"(0.1823122924363487, 4.660915276450045e-20)"
