,child_sex,word,freq
776,male,show,517
777,male,driver,20
778,male,dirty,132
779,male,bagel,28
780,male,clock,101
781,male,doors,26
782,male,wants,318
783,male,who,1340
784,male,taste,96
785,male,excellent,20
786,male,done,392
787,male,anyone,22
788,male,name,626
789,male,egg,78
790,male,hulk,29
791,male,thunder,32
792,male,noise,80
793,male,deal,109
794,male,sticks,21
795,male,horsie,54
796,male,b,48
797,male,saying,252
798,male,what,13488
799,male,John,52
800,male,idea,393
801,male,suit,34
802,male,crumbs,42
803,male,yet,280
804,male,pie,43
805,male,add,45
806,male,toot,83
807,male,monsters,30
808,male,yours,168
809,male,knife,49
810,male,I'm,2759
811,male,tough,21
812,male,knees,21
813,male,did,5220
814,male,drank,48
815,male,rocking,62
816,male,reached,23
817,male,man,251
818,male,/.,495
819,male,record,71
820,male,ya,522
821,male,brush,139
822,male,lion,78
823,male,catching,26
824,male,ah,312
825,male,run,151
826,male,smart,173
827,male,street,93
828,male,feel,396
829,male,meant,63
830,male,wrestle,20
831,male,ears,57
832,male,broken,110
833,male,threw,54
834,male,hamburger,23
835,male,knocked,37
836,male,penguins,20
837,male,seat,63
838,male,clever,25
839,male,be,2609
840,male,nail,23
841,male,budleyley,23
842,male,hadn't,20
843,male,tonight,193
844,male,back,1676
845,male,badji,87
846,male,truth,22
847,male,roll,81
848,male,aspirin,31
849,male,looks,330
850,male,o,109
851,male,keys,108
852,male,hit,261
853,male,aren't,247
854,male,like,3699
855,male,girls,93
856,male,bum,20
857,male,Albuquerque,43
858,male,bowl,83
859,male,summer,53
860,male,Jenny,38
861,male,drawer,72
862,male,beep,49
863,male,morning,311
864,male,splat,28
865,male,soft,24
866,male,cheese,118
867,male,talk,650
868,male,eggs,121
869,male,vegetables,44
870,male,lets,37
871,male,head,477
872,male,bet,139
873,male,handle,23
874,male,fixed,78
875,male,roots,24
876,male,chop,24
877,male,pants,105
878,male,army,39
879,male,tapes,60
880,male,brothers,48
881,male,floppy,53
882,male,daddy,374
