,embeddings,r,p
238,Word2Vec,0.12139602302078939,3.012800676421239e-07
239,Word2Vec,0.09138887038070022,0.00011802246760216038
240,Word2Vec,0.23091875476412344,7.458460800727723e-23
241,Word2Vec,0.11490796510354083,1.2535341733867386e-06
242,Word2Vec,0.189274155184496,9.740458579646794e-16
243,Word2Vec,0.254768899818496,1.2708515903745579e-27
244,Word2Vec,0.13258185972545733,2.159755991863668e-08
245,Word2Vec,0.20805643942946908,9.236352650476537e-19
246,Word2Vec,0.2275970341433728,3.133146550099469e-22
247,Word2Vec,0.15930625351622377,1.5774835628322823e-11
248,Word2Vec,0.11897229716887624,5.177150345969738e-07
249,Word2Vec,0.11366034767965709,1.6347951265013945e-06
250,Word2Vec,0.1408701877190191,2.6469456639912403e-09
251,Word2Vec,0.22461289248249383,1.1157980822170328e-21
252,Word2Vec,0.15860326064435495,1.9401378693483872e-11
253,Word2Vec,0.13176271384536767,2.639701821311722e-08
254,Word2Vec,0.10087593616047016,2.1202140586230206e-05
255,Word2Vec,0.1635771224319961,4.398854444470748e-12
256,Word2Vec,0.11743799378484956,7.253918895072127e-07
257,Word2Vec,0.15663973420383773,3.4412365750307935e-11
258,Word2Vec,0.12562983763876812,1.1409837223486623e-07
259,Word2Vec,0.07413946233560104,0.0018009040619269682
260,Word2Vec,0.17888631708440225,3.405040082311678e-14
261,Word2Vec,0.1799350865145249,2.4009604572163044e-14
262,Word2Vec,0.15544848675649553,4.854936561099458e-11
263,Word2Vec,0.13341640118418388,1.758216506438004e-08
264,Word2Vec,0.11095340924587146,2.881122536900529e-06
265,Word2Vec,0.09949432147572379,2.7490938324694727e-05
266,Word2Vec,0.1367478062617504,7.638068713510292e-09
267,Word2Vec,0.1637627024361534,4.158168516584063e-12
268,Word2Vec,0.12620076985110712,9.984878393259384e-08
269,Word2Vec,0.22212615646034492,3.1711425205685868e-21
270,Word2Vec,0.13929833640371714,3.9794695243510065e-09
271,Word2Vec,0.10973052088765954,3.7058785517649273e-06
272,Word2Vec,0.138527187650313,4.8526869953977995e-09
273,Word2Vec,0.14175879760766544,2.0978121563329784e-09
274,Word2Vec,0.11365647033558107,1.636137790782355e-06
275,Word2Vec,0.09709219958591901,4.2843335843605174e-05
276,Word2Vec,0.1768067288223193,6.765345163216619e-14
277,Word2Vec,0.12611657717329913,1.0183626491184533e-07
278,Word2Vec,0.19313183412273566,2.467307216002605e-16
279,Word2Vec,0.1322215177052299,2.3594304953098767e-08
280,Word2Vec,0.12475607155311179,1.3978262960663484e-07
281,Word2Vec,0.1693967734259926,7.303938310481834e-13
282,Word2Vec,0.13718856286688594,6.8299873606047755e-09
283,Word2Vec,0.22092434238906797,5.2298784054883056e-21
284,Word2Vec,0.06898292656508599,0.0036888132075932386
285,Word2Vec,0.07155456381844938,0.0025941871211545998
286,Word2Vec,0.17772140734260614,5.0071237636708e-14
287,Word2Vec,0.24565394033833154,9.723311903050345e-26
288,Word2Vec,0.07094865753950247,0.002821331707051149
289,Word2Vec,0.16520055416525117,2.6829215469912623e-12
290,Word2Vec,0.2690619510587789,9.872692219638104e-31
291,Word2Vec,0.18977629915997157,8.159546965937773e-16
292,Word2Vec,0.15090651285329523,1.7601321608507402e-10
293,Word2Vec,0.18424679707468525,5.583481574965058e-15
294,Word2Vec,0.10507697108908856,9.428691188137399e-06
295,Word2Vec,0.11206519284314378,2.28648199234101e-06
296,Word2Vec,0.24347498341675966,2.6718927934447293e-25
297,Word2Vec,0.15389711196178424,7.570347876241422e-11
298,Word2Vec,0.18467018622472106,4.829039771831151e-15
299,Word2Vec,0.2519928966538548,4.851877621679615e-27
